bookmaker,bucket,n,mean_pred_over_pct,actual_over_pct,abs_error_pp
ballybet,"[0.25, 0.3)",79,27.26838303874492,22.78481012658228,4.483572912162642
ballybet,"[0.3, 0.35)",71,32.103709462244986,33.80281690140845,1.6991074391634664
ballybet,"[0.35, 0.4)",45,36.970684241659654,44.44444444444444,7.47376020278479
ballybet,"[0.4, 0.45)",72,42.372755498260176,40.27777777777778,2.094977720482394
ballybet,"[0.45, 0.5)",67,47.472153899586516,43.28358208955223,4.188571810034281
ballybet,"[0.5, 0.55)",55,52.206442772018406,56.36363636363636,4.157193591617958
ballybet,"[0.55, 0.6)",47,57.69196929737884,57.446808510638306,0.2451607867405392
ballybet,"[0.6, 0.65)",72,62.55645530843997,61.111111111111114,1.4453441973288572
ballybet,"[0.65, 0.7)",68,67.31382330677165,66.17647058823529,1.1373527185363663
ballybet,"[0.7, 0.75)",56,72.32582297660947,75.0,2.6741770233905338
ballybet,"[0.75, 0.8)",76,77.56631411697028,78.94736842105263,1.381054304082352
betmgm,"[0.35, 0.4)",37,38.870765793994124,45.94594594594595,7.075180151951827
betmgm,"[0.4, 0.45)",800,42.997109419226206,43.625,0.6278905807737989
betmgm,"[0.45, 0.5)",886,47.38739175527643,47.17832957110609,0.20906218417033884
betmgm,"[0.5, 0.55)",885,52.336083090589405,52.99435028248588,0.6582671918964778
betmgm,"[0.55, 0.6)",639,56.82477351994657,55.08607198748044,1.738701532466136
betonlineag,"[0.35, 0.4)",46,38.84488242795964,41.30434782608695,2.4594653981273193
betonlineag,"[0.4, 0.45)",891,43.01220323855309,43.54657687991021,0.5343736413571221
betonlineag,"[0.45, 0.5)",845,47.458352417738745,48.994082840236686,1.5357304224979385
betonlineag,"[0.5, 0.55)",887,52.24297747289353,48.47801578354002,3.764961689353502
betonlineag,"[0.55, 0.6)",621,56.90048950707764,57.971014492753625,1.0705249856759913
betonlineag,"[0.6, 0.65)",28,61.212562106242515,75.0,13.787437893757481
betrivers,"[0.25, 0.3)",1226,27.357858634326,28.05872756933116,0.7008689350051611
betrivers,"[0.3, 0.35)",1093,32.29023232336324,30.37511436413541,1.91511795922783
betrivers,"[0.35, 0.4)",874,37.29711505718662,37.4141876430206,0.11707258583397162
betrivers,"[0.4, 0.45)",1024,42.543213181771904,44.23828125,1.695068068228095
betrivers,"[0.45, 0.5)",965,47.374838151334885,46.424870466321245,0.9499676850136418
betrivers,"[0.5, 0.55)",935,52.43141087228693,51.87165775401069,0.5597531182762405
betrivers,"[0.55, 0.6)",828,57.586414972690314,57.367149758454104,0.21926521423620837
betrivers,"[0.6, 0.65)",1055,62.64944162725207,67.29857819905213,4.649136571800061
betrivers,"[0.65, 0.7)",1029,67.51572933215759,68.12439261418854,0.6086632820309412
betrivers,"[0.7, 0.75)",1007,72.44647897314744,73.08838133068521,0.6419023575377714
betrivers,"[0.75, 0.8)",1133,77.53628880916949,80.05295675198589,2.5166679428163863
bovada,"[0.35, 0.4)",118,39.03536241830103,48.30508474576271,9.269722327461682
bovada,"[0.4, 0.45)",802,43.04961961786146,43.765586034912715,0.7159664170512614
bovada,"[0.45, 0.5)",714,47.42552663993615,46.63865546218487,0.7868711777512749
bovada,"[0.5, 0.55)",905,52.03670806140024,51.049723756906076,0.9869843044941651
bovada,"[0.55, 0.6)",573,56.93566179648764,55.846422338568935,1.0892394579187115
bovada,"[0.6, 0.65)",88,60.925278974940845,64.77272727272727,3.8474482977864266
draftkings,"[0.35, 0.4)",23,39.28000123962173,47.82608695652174,8.54608571690001
draftkings,"[0.4, 0.45)",849,43.08667841494484,43.580683156654885,0.4940047417100468
draftkings,"[0.45, 0.5)",911,47.379503715691875,46.65203073545554,0.7274729802363322
draftkings,"[0.5, 0.55)",931,52.23653340040182,50.805585392051555,1.4309480083502635
draftkings,"[0.55, 0.6)",658,56.751959124474126,57.29483282674772,0.5428737022735941
espnbet,"[0.25, 0.3)",1136,27.938128604386243,27.904929577464788,0.03319902692145438
espnbet,"[0.3, 0.35)",940,32.92315103982812,32.02127659574468,0.9018744440834392
espnbet,"[0.35, 0.4)",816,37.5238774712795,35.17156862745098,2.3523088438285154
espnbet,"[0.4, 0.45)",1103,42.87312930276838,42.24841341795104,0.6247158848173395
espnbet,"[0.45, 0.5)",828,47.503163223742554,48.792270531400966,1.2891073076584103
espnbet,"[0.5, 0.55)",953,52.048493037351705,50.47219307450157,1.5762999628501362
espnbet,"[0.55, 0.6)",950,57.3684929258437,58.8421052631579,1.4736123373142007
espnbet,"[0.6, 0.65)",923,62.450155341427404,65.11375947995667,2.663604138529263
espnbet,"[0.65, 0.7)",886,67.14485018678428,68.96162528216703,1.81677509538275
espnbet,"[0.7, 0.75)",928,71.98446104379805,71.33620689655173,0.6482541472463188
espnbet,"[0.75, 0.8)",98,76.0181104946261,83.6734693877551,7.655358893129005
fanatics,"[0.4, 0.45)",630,43.15223177296546,42.38095238095238,0.7712793920130745
fanatics,"[0.45, 0.5)",605,47.025110102879324,46.28099173553719,0.7441183673421337
fanatics,"[0.5, 0.55)",827,52.00956578082588,52.35792019347038,0.3483544126444915
fanatics,"[0.55, 0.6)",477,56.751749463167386,57.861635220125784,1.1098857569583953
fanduel,"[0.35, 0.4)",22,39.37177660778595,54.54545454545454,15.173677937668595
fanduel,"[0.4, 0.45)",843,43.045932583004,43.1791221826809,0.13318959967689725
fanduel,"[0.45, 0.5)",919,47.28744800153797,46.57236126224157,0.7150867392964
fanduel,"[0.5, 0.55)",974,52.23501490530846,50.82135523613963,1.413659669168832
fanduel,"[0.55, 0.6)",575,56.8480013171429,57.391304347826086,0.5433030306831843
fanduel,"[0.6, 0.65)",26,60.94921000657967,65.38461538461539,4.435405378035718
fliff,"[0.4, 0.45)",786,43.348062083618366,42.62086513994911,0.727196943669256
fliff,"[0.45, 0.5)",905,47.30335994253959,46.629834254143645,0.6735256883959484
fliff,"[0.5, 0.55)",929,52.18161435667007,49.94617868675996,2.235435669910113
fliff,"[0.55, 0.6)",707,56.61018349719961,55.02121640735502,1.588967089844584
hardrockbet,"[0.35, 0.4)",39,39.01379476856317,35.8974358974359,3.1163588711272783
hardrockbet,"[0.4, 0.45)",746,42.8670517849592,44.50402144772118,1.6369696627619779
hardrockbet,"[0.45, 0.5)",993,47.29649228574637,47.3313192346425,0.0348269488961328
hardrockbet,"[0.5, 0.55)",972,52.5622835278848,51.33744855967078,1.224834968214017
hardrockbet,"[0.55, 0.6)",581,57.04546477003544,56.79862306368331,0.24684170635212999
hardrockbet,"[0.6, 0.65)",21,60.9790491165608,57.14285714285714,3.836191973703662
ladbrokes_au,"[0.35, 0.4)",38,38.55662339478666,39.473684210526315,0.9170608157396509
ladbrokes_au,"[0.4, 0.45)",427,43.11723182828911,45.90163934426229,2.7844075159731863
ladbrokes_au,"[0.45, 0.5)",790,47.04957834387606,46.32911392405064,0.7204644198254229
ladbrokes_au,"[0.5, 0.55)",939,52.70881245950498,52.928647497337586,0.21983503783260527
ladbrokes_au,"[0.55, 0.6)",166,55.59476152916284,60.24096385542169,4.6462023262588525
mybookieag,"[0.4, 0.45)",400,43.28978341267508,45.25,1.9602165873249255
mybookieag,"[0.45, 0.5)",576,47.20075558123875,46.875,0.32575558123875137
mybookieag,"[0.5, 0.55)",579,52.4099837631992,49.740932642487046,2.6690511207121514
mybookieag,"[0.55, 0.6)",286,56.612478952880174,60.83916083916085,4.226681886280669
pinnacle,"[0.35, 0.4)",111,38.97859121241713,47.74774774774775,8.76915653533062
pinnacle,"[0.4, 0.45)",828,42.830023624071636,44.68599033816425,1.8559667140926106
pinnacle,"[0.45, 0.5)",878,47.43104729164415,46.924829157175395,0.50621813446875
pinnacle,"[0.5, 0.55)",875,52.345449284876445,51.771428571428565,0.5740207134478759
pinnacle,"[0.55, 0.6)",562,57.01723403612826,55.693950177935946,1.3232838581923145
pinnacle,"[0.6, 0.65)",49,61.134787425919924,61.224489795918366,0.08970236999844561
pointsbetau,"[0.4, 0.45)",649,43.2471666315775,43.451463790446844,0.2042971588693432
pointsbetau,"[0.45, 0.5)",549,47.25608654694093,48.08743169398907,0.8313451470481403
pointsbetau,"[0.5, 0.55)",718,51.91628706277238,51.81058495821726,0.10570210455511653
pointsbetau,"[0.55, 0.6)",515,56.56741318200154,58.44660194174758,1.8791887597460422
rebet,"[0.4, 0.45)",476,43.1836365552415,44.747899159663866,1.5642626044223673
rebet,"[0.45, 0.5)",670,47.20097522971484,46.11940298507463,1.0815722446402165
rebet,"[0.5, 0.55)",694,52.41008879416699,51.29682997118156,1.11325882298543
rebet,"[0.55, 0.6)",346,56.767142604013266,60.40462427745664,3.637481673443377
sportsbet,"[0.4, 0.45)",586,43.11520404188377,43.68600682593857,0.5708027840547969
sportsbet,"[0.45, 0.5)",717,47.34933440326874,47.559274755927476,0.20994035265873845
sportsbet,"[0.5, 0.55)",706,52.43203811602736,52.69121813031161,0.25918001428425486
sportsbet,"[0.55, 0.6)",417,56.82227924006499,58.033573141486805,1.2112939014218171
tabtouch,"[0.25, 0.3)",244,27.574593439854382,29.918032786885245,2.3434393470308623
tabtouch,"[0.3, 0.35)",219,32.083944513316496,31.963470319634702,0.12047419368179102
tabtouch,"[0.35, 0.4)",196,37.45383633423207,35.714285714285715,1.7395506199463562
tabtouch,"[0.4, 0.45)",183,42.421586447747465,46.44808743169399,4.026500983946524
tabtouch,"[0.45, 0.5)",216,47.1035112220705,46.75925925925926,0.3442519628112428
tabtouch,"[0.5, 0.55)",188,52.43218980556453,51.06382978723404,1.3683600183304945
tabtouch,"[0.55, 0.6)",184,57.506206662894336,55.434782608695656,2.0714240541986784
tabtouch,"[0.6, 0.65)",214,62.67244106756087,69.62616822429906,6.953727156738198
tabtouch,"[0.65, 0.7)",206,67.59557873257846,66.01941747572816,1.5761612568502947
tabtouch,"[0.7, 0.75)",210,72.31898113945722,76.66666666666667,4.347685527209444
tabtouch,"[0.75, 0.8)",233,77.3362833944919,80.68669527896995,3.350411884478055
unibet,"[0.25, 0.3)",250,27.57068439127965,32.4,4.829315608720353
unibet,"[0.3, 0.35)",196,32.082272032626236,31.122448979591837,0.9598230530343976
unibet,"[0.35, 0.4)",197,37.41298011330563,37.055837563451774,0.3571425498538505
unibet,"[0.4, 0.45)",180,42.480605867629556,46.666666666666664,4.1860607990371115
unibet,"[0.45, 0.5)",206,47.09928485689643,46.601941747572816,0.49734310932361137
unibet,"[0.5, 0.55)",179,52.44088181859262,50.83798882681564,1.602892991776983
unibet,"[0.55, 0.6)",175,57.411624539344075,52.57142857142857,4.8401959679155055
unibet,"[0.6, 0.65)",212,62.62405712812017,70.28301886792453,7.65896173980436
unibet,"[0.65, 0.7)",201,67.61219954718966,66.16915422885572,1.4430453183339464
unibet,"[0.7, 0.75)",202,72.34675357894376,76.23762376237624,3.890870183432471
unibet,"[0.75, 0.8)",222,77.36345529376118,79.27927927927928,1.9158239855181058
williamhill_us,"[0.35, 0.4)",23,39.20252390766572,52.17391304347826,12.971389135812538
williamhill_us,"[0.4, 0.45)",179,43.217843369193794,38.547486033519554,4.670357335674241
williamhill_us,"[0.45, 0.5)",188,47.44252136443299,48.93617021276596,1.493648848332968
williamhill_us,"[0.5, 0.55)",197,52.207370664109845,43.65482233502538,8.552548329084464
williamhill_us,"[0.55, 0.6)",120,56.97914916898995,58.333333333333336,1.354184164343386
