pitcher,date,line,side,dk_entry_odds,dk_close_odds,dk_entry_prob_cents,dk_close_prob_cents,dk_move_pp,abs_dk_move_pp,dk_clv_pp,sharp_clv_pp,divergence_pp,result
Javier Assad,2026-06-12,3.5,OVER,118.0,-169.0,45.87155963302752,59.30900949960671,13.437449866579186,13.437449866579186,13.437449866579186,-7.8735554877907035,21.31100535436989,W
Eric Lauer,2026-06-09,4.5,OVER,130.0,-139.0,43.47826086956522,54.86393080395083,11.38566993438561,11.38566993438561,11.38566993438561,-8.642195295794721,20.027865230180332,W
Tomoyuki Sugano,2026-06-09,3.5,OVER,135.0,-145.0,42.5531914893617,55.87970466414551,13.326513174783805,13.326513174783805,13.326513174783805,-6.225167160718854,19.55168033550266,L
Justin Wrobleski,2026-06-16,4.5,OVER,134.0,-158.0,42.73504273504273,57.72847920831012,14.993436473267387,14.993436473267387,14.993436473267387,-3.10158197497978,18.095018448247167,W
Eric Lauer,2026-06-15,4.5,OVER,245.0,125.0,28.985507246376812,41.93548387096774,12.949976624590924,12.949976624590924,12.949976624590924,-4.495711328009463,17.445687952600387,L
Trevor Rogers,2026-06-09,4.5,UNDER,122.0,-160.0,45.04504504504504,58.06451612903226,13.01947108398722,13.01947108398722,13.01947108398722,-3.286456958061116,16.305928042048336,W
Chase Burns,2026-06-15,6.5,UNDER,124.0,-142.0,44.642857142857146,55.43606364172068,10.793206498863533,10.793206498863533,10.793206498863533,-5.2674328387159335,16.060639337579467,L
MacKenzie Gore,2026-06-15,5.5,UNDER,110.0,-156.0,47.61904761904761,57.49767565413734,9.878628035089726,9.878628035089726,9.878628035089726,-5.8190349261039245,15.69766296119365,L
Emerson Hancock,2026-06-14,4.5,OVER,125.0,-151.0,44.44444444444444,56.73756420421249,12.293119759768047,12.293119759768047,12.293119759768047,-2.674002597051178,14.967122356819225,L
Shota Imanaga,2026-06-15,5.5,UNDER,110.0,-158.0,47.61904761904761,57.72847920831013,10.109431589262513,10.109431589262513,10.109431589262513,-4.8341348777564335,14.943566467018947,W
Anthony Kay,2026-06-12,4.5,OVER,138.0,115.0,42.016806722689076,43.86821774265163,1.8514110199625549,1.8514110199625549,1.8514110199625549,-13.031299476312263,14.882710496274818,W
Shane Baz,2026-06-12,5.5,OVER,118.0,-139.0,45.87155963302752,54.86393080395083,8.992371170923306,8.992371170923306,8.992371170923306,-4.56467328377925,13.557044454702556,L
Chase Burns,2026-06-09,6.5,UNDER,115.0,-146.0,46.51162790697674,55.94871427548169,9.43708636850495,9.43708636850495,9.43708636850495,-4.078101951187257,13.515188319692207,L
Cristopher Sanchez,2026-06-14,6.5,UNDER,122.0,-151.0,45.04504504504504,56.73756420421249,11.692519159167446,11.692519159167446,11.692519159167446,-1.6143151718554236,13.30683433102287,
Nathan Eovaldi,2026-06-09,5.5,OVER,125.0,124.0,44.44444444444444,42.10286754665453,-2.3415768977899134,2.3415768977899134,-2.3415768977899134,-6.309943027283914,3.968366129494001,L
Shane McClanahan,2026-06-17,4.5,OVER,100.0,-110.0,50.0,49.37655860349127,-0.6234413965087313,0.6234413965087313,-0.6234413965087313,-3.306613226452903,2.683171829944172,
Tomoyuki Sugano,2026-06-14,3.5,OVER,130.0,133.0,43.47826086956522,40.534454286143216,-2.9438065834220026,2.9438065834220026,-2.9438065834220026,-5.480256724328399,2.536450140906396,L
Zack Littell,2026-06-17,3.5,OVER,120.0,113.0,45.45454545454545,44.23580391802835,-1.2187415365171006,1.2187415365171006,-1.2187415365171006,-3.5311509299948582,2.3124093934777576,
Martín Pérez,2026-06-11,4.5,OVER,120.0,119.0,45.45454545454545,43.08576118178087,-2.368784272764586,2.368784272764586,-2.368784272764586,-4.448613969253117,2.079829696488531,
Shota Imanaga,2026-06-10,5.5,OVER,122.0,116.0,45.04504504504504,43.68658399098083,-1.3584610540642146,1.3584610540642146,-1.3584610540642146,-3.1216505204944482,1.7631894664302337,W
Nick Lodolo,2026-06-17,5.5,OVER,120.0,111.0,45.45454545454545,44.68077249732284,-0.7737729572226115,0.7737729572226115,-0.7737729572226115,-2.1571228444268087,1.3833498872041972,
Walbert Ureña,2026-06-15,4.5,OVER,125.0,111.0,44.44444444444444,44.68077249732284,0.23632805287839886,0.23632805287839886,0.23632805287839886,-0.9699191415833681,1.206247194461767,L
Logan Gilbert,2026-06-16,6.5,UNDER,115.0,106.0,46.51162790697674,45.722256664600124,-0.7893712423766175,0.7893712423766175,-0.7893712423766175,-1.9947983738605615,1.205427131483944,L
Nolan McLean,2026-06-12,5.5,UNDER,119.0,100.0,45.662100456621005,47.193347193347186,1.5312467367261817,1.5312467367261817,1.5312467367261817,0.34748972799975064,1.183757008726431,L
Mitch Spence,2026-06-15,3.5,OVER,130.0,123.0,43.47826086956522,42.33170265684966,-1.1465582127155614,1.1465582127155614,-1.1465582127155614,-2.0998023715415,0.9532441588259388,L
Aaron Civale,2026-06-17,3.5,OVER,-105.0,-102.0,51.21951219512195,47.614107883817425,-3.6054043113045253,3.6054043113045253,-3.6054043113045253,-4.526125421574854,0.9207211102703283,
Sonny Gray,2026-06-12,5.5,OVER,126.0,128.0,44.24778761061947,41.440816841043734,-2.8069707695757344,2.8069707695757344,-2.8069707695757344,-3.60702819204932,0.8000574224735857,W
Michael Wacha,2026-06-16,4.5,OVER,130.0,130.0,43.47826086956522,41.06205619018216,-2.416204679383057,2.416204679383057,-2.416204679383057,-3.195554802437073,0.7793501230540159,L
Mitch Keller,2026-06-11,4.5,OVER,122.0,132.0,45.04504504504504,40.6909905003933,-4.354054544651746,4.354054544651746,-4.354054544651746,-4.914548754950637,0.5604942102988915,L
Casey Mize,2026-06-17,4.5,OVER,120.0,117.0,45.45454545454545,43.506368703370434,-1.9481767511750192,1.9481767511750192,-1.9481767511750192,-2.1215621498204555,0.17338539864543634,
Michael King,2026-06-16,4.5,OVER,115.0,104.0,46.51162790697674,46.281519310564946,-0.23010859641179593,0.23010859641179593,-0.23010859641179593,-0.22445043996866332,-0.0056581564431326115,L
Reid Detmers,2026-06-16,5.5,OVER,130.0,119.0,43.47826086956522,43.02208920706718,-0.4561716624980363,0.4561716624980363,-0.4561716624980363,-0.4183133488762607,-0.03785831362177561,L
Robert Gasser,2026-06-16,4.5,UNDER,125.0,128.0,44.44444444444444,41.38449962377727,-3.0599448206671696,3.0599448206671696,-3.0599448206671696,-3.001841708888513,-0.05810311177865657,L
Zac Gallen,2026-06-09,4.5,OVER,116.0,125.0,46.2962962962963,41.93548387096774,-4.360812425328561,4.360812425328561,-4.360812425328561,-4.20686826441716,-0.15394416091140073,L
Merrill Kelly,2026-06-11,4.5,OVER,120.0,134.0,45.45454545454545,40.37905653067914,-5.075488923866317,5.075488923866317,-5.075488923866317,-4.813786035975305,-0.2617028878910119,L
Jacob Misiorowski,2026-06-12,8.5,UNDER,-108.0,-110.0,51.92307692307693,49.37655860349127,-2.546518319585658,2.546518319585658,-2.546518319585658,-1.7208442746381536,-0.8256740449475046,L
Kyle Harrison,2026-06-14,6.5,UNDER,120.0,118.0,45.45454545454545,43.327556325823224,-2.1269891287222293,2.1269891287222293,-2.1269891287222293,-0.3002371364501428,-1.8267519922720865,W
Zack Littell,2026-06-12,3.5,OVER,106.0,128.0,48.54368932038835,41.38449962377727,-7.1591896966110795,7.1591896966110795,-7.1591896966110795,-5.3086944068583435,-1.850495289752736,L
Brady Singer,2026-06-10,4.5,OVER,116.0,116.0,46.2962962962963,43.68658399098083,-2.609712305315469,2.609712305315469,-2.609712305315469,-0.755499332349423,-1.854212972966046,W
Mitch Keller,2026-06-16,4.5,OVER,112.0,131.0,47.16981132075472,40.8486769906109,-6.3211343301438205,6.3211343301438205,-6.3211343301438205,-4.283584974928203,-2.037549355215617,W
Ryne Nelson,2026-06-10,4.5,OVER,116.0,118.0,46.2962962962963,43.26243579578751,-3.033860500508787,3.033860500508787,-3.033860500508787,-0.6812566932807442,-2.352603807228043,L
Adrian Houser,2026-06-16,3.5,OVER,108.0,120.0,48.07692307692308,42.91044776119403,-5.166475315729052,5.166475315729052,-5.166475315729052,-2.6567868165143054,-2.5096884992147466,
Shane McClanahan,2026-06-12,5.5,UNDER,132.0,106.0,43.103448275862064,45.722256664600124,2.61880838873806,2.61880838873806,2.61880838873806,5.274557482217489,-2.655749093479429,L
Luinder Avila,2026-06-12,3.5,OVER,110.0,-117.0,47.61904761904761,50.83149711054754,3.2124494914999246,3.2124494914999246,3.2124494914999246,6.294403404230003,-3.0819539127300786,L
Dylan Cease,2026-06-09,6.5,UNDER,111.0,115.0,47.39336492890995,43.86821774265163,-3.525147186258323,3.525147186258323,-3.525147186258323,-0.2091332314039107,-3.3160139548544123,L
J.T. Ginn,2026-06-09,4.5,OVER,120.0,113.0,45.45454545454545,44.30563625798953,-1.1489091965559197,1.1489091965559197,-1.1489091965559197,2.7194522730961594,-3.868361469652079,W
Freddy Peralta,2026-06-14,5.5,OVER,110.0,119.0,47.61904761904761,43.08576118178087,-4.533286437266746,4.533286437266746,-4.533286437266746,0.8709258044846351,-5.404212241751381,L
