date,pitcher,line,side_flag,side,edge_pct,dk_entry_odds,dk_close_odds,dk_close_cents,dk_clv_pp,sharp_source,sharp_match,sharp_close_cents,sharp_close_fair_odds,sharp_clv_pp,result,actual_ks
2026-06-12,Anthony Kay,4.5,[OVER],over,19.60,+138,+115,43.87,1.85,consensus,exact,28.99,+245,-13.03,W,7
2026-06-09,Eric Lauer,4.5,[OVER],over,16.08,+130,-139,54.86,11.39,consensus,exact,34.84,+187,-8.64,W,5
2026-06-12,Javier Assad,3.5,[OVER],over,13.60,+118,-169,59.31,13.44,pinnacle,exact,38.00,+163,-7.87,W,5
2026-06-09,Nathan Eovaldi,5.5,[OVER],over,13.04,+125,+124,42.10,-2.34,pinnacle,exact,38.13,+162,-6.31,L,3
2026-06-09,Tomoyuki Sugano,3.5,[OVER],over,19.10,+135,-145,55.88,13.33,consensus,exact,36.33,+175,-6.23,L,3
2026-06-15,MacKenzie Gore,5.5,[UNDER],under,9.33,+110,-156,57.50,9.88,consensus,exact,41.80,+139,-5.82,L,10
2026-06-14,Tomoyuki Sugano,3.5,[OVER],over,17.10,+130,+133,40.53,-2.94,pinnacle,exact,38.00,+163,-5.48,L,2
2026-06-12,Zack Littell,3.5,[OVER],over,7.10,+106,+128,41.38,-7.16,pinnacle,exact,43.23,+131,-5.31,L,0
2026-06-15,Chase Burns,6.5,[UNDER],under,15.39,+124,-142,55.44,10.79,consensus,exact,39.38,+154,-5.27,L,7
2026-06-11,Mitch Keller,4.5,[OVER],over,12.99,+122,+132,40.69,-4.35,pinnacle,exact,40.13,+149,-4.91,L,3
2026-06-15,Shota Imanaga,5.5,[UNDER],under,8.66,+110,-158,57.73,10.11,consensus,exact,42.78,+134,-4.83,W,3
2026-06-11,Merrill Kelly,4.5,[OVER],over,10.75,+120,+134,40.38,-5.08,pinnacle,exact,40.64,+146,-4.81,L,1
2026-06-12,Shane Baz,5.5,[OVER],over,8.50,+118,-139,54.86,8.99,consensus,exact,41.31,+142,-4.56,L,1
2026-06-17,Aaron Civale,3.5,[OVER],over,14.57,-105,-102,47.61,-3.61,pinnacle,exact,46.69,+114,-4.53,,NA
2026-06-15,Eric Lauer,4.5,[OVER],over,73.35,+245,+125,41.94,12.95,consensus,exact,24.49,+308,-4.50,L,4
2026-06-11,Martín Pérez,4.5,[OVER],over,9.65,+120,+119,43.09,-2.37,pinnacle,exact,41.01,+144,-4.45,,NA
2026-06-16,Mitch Keller,4.5,[OVER],over,7.03,+112,+131,40.85,-6.32,pinnacle,exact,42.89,+133,-4.28,W,7
2026-06-09,Zac Gallen,4.5,[OVER],over,8.98,+116,+125,41.94,-4.36,pinnacle,exact,42.09,+138,-4.21,L,3
2026-06-09,Chase Burns,6.5,[UNDER],under,8.97,+115,-146,55.95,9.44,consensus,exact,42.43,+136,-4.08,L,7
2026-06-12,Sonny Gray,5.5,[OVER],over,12.70,+126,+128,41.44,-2.81,pinnacle,exact,40.64,+146,-3.61,W,7
2026-06-17,Zack Littell,3.5,[OVER],over,24.36,+120,+113,44.24,-1.22,pinnacle,exact,41.92,+139,-3.53,,NA
2026-06-17,Shane McClanahan,4.5,[OVER],over,12.73,+100,-110,49.38,-0.62,pinnacle,exact,46.69,+114,-3.31,,NA
2026-06-09,Trevor Rogers,4.5,[UNDER],under,13.21,+122,-160,58.06,13.02,pinnacle,exact,41.76,+139,-3.29,W,3
2026-06-16,Michael Wacha,4.5,[OVER],over,16.73,+130,+130,41.06,-2.42,pinnacle,exact,40.28,+148,-3.20,L,3
2026-06-10,Shota Imanaga,5.5,[OVER],over,10.25,+122,+116,43.69,-1.36,pinnacle,exact,41.92,+139,-3.12,W,7
2026-06-16,Justin Wrobleski,4.5,[OVER],over,17.35,+134,-158,57.73,14.99,pinnacle,exact,39.63,+152,-3.10,W,5
2026-06-16,Robert Gasser,4.5,[UNDER],under,16.37,+125,+128,41.38,-3.06,consensus,exact,41.44,+141,-3.00,L,5
2026-06-14,Miles Mikolas,3.5,[OVER],over,12.70,+125,NA,NA,NA,consensus,exact,41.53,+141,-2.91,,NA
2026-06-14,Emerson Hancock,4.5,[OVER],over,17.10,+125,-151,56.74,12.29,consensus,exact,41.77,+139,-2.67,L,2
2026-06-16,Adrian Houser,3.5,[OVER],over,9.22,+108,+120,42.91,-5.17,pinnacle,exact,45.42,+120,-2.66,,NA
2026-06-17,Nick Lodolo,5.5,[OVER],over,17.07,+120,+111,44.68,-0.77,pinnacle,exact,43.30,+131,-2.16,,NA
2026-06-17,Casey Mize,4.5,[OVER],over,14.32,+120,+117,43.51,-1.95,consensus,exact,43.33,+131,-2.12,,NA
2026-06-15,Mitch Spence,3.5,[OVER],over,19.46,+130,+123,42.33,-1.15,pinnacle,exact,41.38,+142,-2.10,L,1
2026-06-16,Logan Gilbert,6.5,[UNDER],under,13.56,+115,+106,45.72,-0.79,pinnacle,exact,44.52,+125,-1.99,L,10
2026-06-12,Jacob Misiorowski,8.5,[UNDER],under,8.10,-108,-110,49.38,-2.55,pinnacle,exact,50.20,-101,-1.72,L,15
2026-06-14,Cristopher Sanchez,6.5,[UNDER],under,15.30,+122,-151,56.74,11.69,consensus,exact,43.43,+130,-1.61,,NA
2026-06-15,Walbert Ureña,4.5,[OVER],over,15.98,+125,+111,44.68,0.24,pinnacle,exact,43.47,+130,-0.97,L,3
2026-06-10,Brady Singer,4.5,[OVER],over,8.47,+116,+116,43.69,-2.61,pinnacle,exact,45.54,+120,-0.76,W,5
2026-06-10,Ryne Nelson,4.5,[OVER],over,7.06,+116,+118,43.26,-3.03,pinnacle,exact,45.62,+119,-0.68,L,2
2026-06-16,Reid Detmers,5.5,[OVER],over,18.18,+130,+119,43.02,-0.46,pinnacle,exact,43.06,+132,-0.42,L,3
2026-06-14,Kyle Harrison,6.5,[UNDER],under,18.70,+120,+118,43.33,-2.13,pinnacle,exact,45.15,+121,-0.30,W,3
2026-06-16,Michael King,4.5,[OVER],over,13.68,+115,+104,46.28,-0.23,pinnacle,exact,46.29,+116,-0.22,L,1
2026-06-09,Dylan Cease,6.5,[UNDER],under,9.88,+111,+115,43.87,-3.53,pinnacle,exact,47.18,+112,-0.21,L,11
2026-06-12,Nolan McLean,5.5,[UNDER],under,10.70,+119,+100,47.19,1.53,pinnacle,exact,46.01,+117,0.35,L,6
2026-06-14,Freddy Peralta,5.5,[OVER],over,8.40,+110,+119,43.09,-4.53,pinnacle,exact,48.49,+106,0.87,L,2
2026-06-09,J.T. Ginn,4.5,[OVER],over,11.27,+120,+113,44.31,-1.15,pinnacle,exact,48.17,+108,2.72,W,5
2026-06-12,Shane McClanahan,5.5,[UNDER],under,19.10,+132,+106,45.72,2.62,pinnacle,exact,48.38,+107,5.27,L,7
2026-06-12,Luinder Avila,3.5,[OVER],over,11.70,+110,-117,50.83,3.21,pinnacle,exact,53.91,-117,6.29,L,0
2026-06-13,Javier Assad,3.5,[OVER],over,13.60,+118,NA,NA,NA,missing,missing,NA,NA,NA,W,5
2026-06-13,Luinder Avila,3.5,[OVER],over,11.70,+110,NA,NA,NA,missing,missing,NA,NA,NA,L,0
2026-06-13,Shane McClanahan,5.5,[UNDER],under,19.10,+132,NA,NA,NA,missing,missing,NA,NA,NA,L,7
2026-06-14,Casey Mize,4.5,[OVER],over,13.60,+125,NA,NA,NA,missing,missing,NA,NA,NA,,NA
2026-06-14,Gavin Williams,6.5,[UNDER],under,12.00,+114,NA,NA,NA,missing,missing,NA,NA,NA,,NA
2026-06-17,Max Scherzer,3.5,[OVER],over,20.17,-105,NA,NA,NA,missing,missing,NA,NA,NA,,NA
